id,dataset,classification
3610511,E13,human
5656162,E13,human
5682702,E13,human
6067292,E13,human
6015122,E13,human
6140012,E13,human
6134312,E13,human
6684602,E13,human
7046912,E13,human
7470952,E13,human
8072492,E13,human
8291932,E13,human
8858022,E13,human
8927532,E13,bot
8933252,E13,bot
9351052,E13,human
9564632,E13,human
9939012,E13,human
9993142,E13,human
10492262,E13,bot
11176152,E13,bot
13260592,E13,human
14057516,E13,bot
14112759,E13,bot
14492555,E13,human
14709812,E13,human
14865840,E13,human
14958182,E13,human
15016610,E13,human
15271419,E13,human
15391421,E13,human
15836275,E13,bot
15873303,E13,human
16093829,E13,human
16591972,E13,bot
16927266,E13,bot
17654864,E13,bot
17852114,E13,human
18173213,E13,bot
18527544,E13,human
18671285,E13,human
18735790,E13,human
18800245,E13,bot
19598248,E13,bot
21102000,E13,human
21770069,E13,human
22015750,E13,bot
22136015,E13,human
22203964,E13,human
22508731,E13,bot
22627606,E13,bot
22985259,E13,bot
23748269,E13,human
23847948,E13,human
24352106,E13,bot
24510304,E13,human
25442408,E13,human
25911628,E13,human
26232444,E13,human
26771352,E13,bot
27241975,E13,human
27422705,E13,bot
27636956,E13,human
27887098,E13,bot
28313453,E13,human
28342883,E13,human
28363979,E13,bot
28845598,E13,human
29500667,E13,human
29510629,E13,bot
29646177,E13,human
30062603,E13,bot
31102741,E13,human
31162918,E13,bot
32025215,E13,human
32130104,E13,human
32204918,E13,bot
33950570,E13,human
34355343,E13,bot
34897604,E13,bot
35737313,E13,bot
36190135,E13,human
36381609,E13,human
36727238,E13,bot
37539436,E13,human
37733715,E13,bot
37889070,E13,human
37922072,E13,human
38002859,E13,human
38223194,E13,bot
38730407,E13,human
38972677,E13,bot
39721490,E13,bot
39748948,E13,human
41780152,E13,bot
41785738,E13,bot
42676920,E13,bot
42754744,E13,bot
43069058,E13,bot
43870029,E13,bot
43964510,E13,human
44042861,E13,human
44335261,E13,human
44451302,E13,human
45100798,E13,bot
45307775,E13,human
45529357,E13,human
45778279,E13,human
46137662,E13,human
46334699,E13,bot
47612213,E13,bot
48034707,E13,human
